Reporte de clasificacion:
              precision    recall  f1-score   support

           1       1.00      0.96      0.98        25
          10       0.96      1.00      0.98        25
         100       1.00      0.84      0.91        25
         101       1.00      0.96      0.98        25
         102       0.95      0.76      0.84        25
         103       0.81      0.88      0.85        25
         104       0.89      1.00      0.94        25
         105       0.85      0.88      0.86        25
         106       0.96      1.00      0.98        25
         107       0.88      0.84      0.86        25
         108       0.96      0.92      0.94        25
          11       0.92      0.92      0.92        25
          12       0.92      0.92      0.92        25
         145       0.92      0.96      0.94        25
         146       0.93      1.00      0.96        25
         147       1.00      0.92      0.96        25
         148       0.74      0.92      0.82        25
         149       1.00      1.00      1.00        25
         150       0.85      0.68      0.76        25
         151       0.87      0.80      0.83        25
         152       0.84      0.84      0.84        25
         153       1.00      0.96      0.98        25
         154       1.00      0.80      0.89        25
         155       0.79      0.76      0.78        25
         156       0.89      0.96      0.92        25
           2       0.88      0.84      0.86        25
           3       0.88      0.92      0.90        25
           4       0.83      1.00      0.91        25
          49       0.96      1.00      0.98        25
           5       0.86      0.96      0.91        25
          50       0.92      0.92      0.92        25
          51       1.00      0.92      0.96        25
          52       0.71      0.88      0.79        25
          53       0.92      0.88      0.90        25
          54       0.86      1.00      0.93        25
          55       1.00      0.88      0.94        25
          56       0.88      0.88      0.88        25
          57       0.96      0.96      0.96        25
          58       1.00      0.92      0.96        25
          59       0.83      0.96      0.89        25
           6       0.87      0.80      0.83        25
          60       0.96      1.00      0.98        25
           7       0.88      0.88      0.88        25
           8       0.74      0.56      0.64        25
           9       0.84      0.84      0.84        25
          97       0.96      0.96      0.96        25
          98       0.85      0.88      0.86        25
          99       0.96      1.00      0.98        25

    accuracy                           0.90      1200
   macro avg       0.91      0.90      0.90      1200
weighted avg       0.91      0.90      0.90      1200

       p:1  p:2  p:3  p:4  p:5  p:6  ...  p:151  p:152  p:153  p:154  p:155  p:156
r:1     24    0    0    0    0    0  ...      0      0      0      0      0      0
r:10     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:100    0    1    0    0    0    0  ...      0      0      0      0      0      0
r:101    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:102    0    0    1    0    0    0  ...      0      0      0      0      0      0
r:103    0    1    0    0    0    0  ...      0      0      0      0      0      0
r:104    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:105    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:106    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:107    0    0    0    0    0    0  ...      0      0      0      0      3      0
r:108    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:11     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:12     0    0    0    0    0    0  ...      0      0      0      0      1      0
r:145    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:146    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:147    0    0    0    0    0    0  ...      1      0      0      0      0      0
r:148    0    0    0    1    0    1  ...      0      0      0      0      0      0
r:149    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:150    0    1    0    0    0    0  ...      1      0      0      0      0      0
r:151    0    0    0    0    0    0  ...     20      2      0      0      0      0
r:152    0    0    0    0    0    0  ...      1     21      0      0      0      0
r:153    0    0    0    0    0    0  ...      0      0     24      0      0      0
r:154    0    0    0    0    0    0  ...      0      0      0     20      0      3
r:155    0    0    0    0    0    0  ...      0      0      0      0     19      0
r:156    0    0    0    0    0    0  ...      0      0      0      0      0     24
r:2      0   21    0    0    0    0  ...      0      0      0      0      0      0
r:3      0    0   23    0    0    0  ...      0      0      0      0      0      0
r:4      0    0    0   25    0    0  ...      0      0      0      0      0      0
r:49     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:5      0    0    0    0   24    0  ...      0      0      0      0      0      0
r:50     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:51     0    0    0    0    0    0  ...      0      2      0      0      0      0
r:52     0    0    0    3    0    0  ...      0      0      0      0      0      0
r:53     0    0    2    0    0    0  ...      0      0      0      0      0      0
r:54     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:55     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:56     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:57     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:58     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:59     0    0    0    0    0    0  ...      0      0      0      0      1      0
r:6      0    0    0    1    0   20  ...      0      0      0      0      0      0
r:60     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:7      0    0    0    0    2    0  ...      0      0      0      0      0      0
r:8      0    0    0    0    0    2  ...      0      0      0      0      0      0
r:9      0    0    0    0    2    0  ...      0      0      0      0      0      0
r:97     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:98     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:99     0    0    0    0    0    0  ...      0      0      0      0      0      0
