Reporte de clasificacion:
              precision    recall  f1-score   support

           1       1.00      0.96      0.98        25
          10       0.86      0.96      0.91        25
         100       0.95      0.84      0.89        25
         101       0.95      0.80      0.87        25
         102       0.88      0.60      0.71        25
         103       0.83      0.76      0.79        25
         104       0.81      0.84      0.82        25
         105       0.90      0.72      0.80        25
         106       0.96      0.88      0.92        25
         107       0.54      0.80      0.65        25
         108       0.95      0.72      0.82        25
          11       0.95      0.76      0.84        25
          12       0.85      0.92      0.88        25
         145       0.83      0.96      0.89        25
         146       0.93      1.00      0.96        25
         147       1.00      0.88      0.94        25
         148       0.65      0.80      0.71        25
         149       0.96      1.00      0.98        25
         150       0.61      0.80      0.69        25
         151       1.00      0.72      0.84        25
         152       0.79      0.76      0.78        25
         153       1.00      0.84      0.91        25
         154       0.94      0.68      0.79        25
         155       0.68      0.68      0.68        25
         156       0.74      0.92      0.82        25
           2       0.81      0.68      0.74        25
           3       0.68      0.92      0.78        25
           4       0.77      0.96      0.86        25
          49       0.86      0.96      0.91        25
           5       0.82      0.72      0.77        25
          50       0.83      0.96      0.89        25
          51       0.96      1.00      0.98        25
          52       0.58      0.84      0.69        25
          53       0.91      0.84      0.87        25
          54       0.72      0.84      0.78        25
          55       1.00      0.44      0.61        25
          56       0.76      0.88      0.81        25
          57       0.92      0.96      0.94        25
          58       1.00      0.96      0.98        25
          59       0.94      0.60      0.73        25
           6       0.59      0.52      0.55        25
          60       0.83      1.00      0.91        25
           7       0.50      0.96      0.66        25
           8       0.69      0.44      0.54        25
           9       0.68      0.52      0.59        25
          97       1.00      0.88      0.94        25
          98       0.77      0.68      0.72        25
          99       1.00      0.96      0.98        25

    accuracy                           0.81      1200
   macro avg       0.84      0.81      0.81      1200
weighted avg       0.84      0.81      0.81      1200

       p:1  p:2  p:3  p:4  p:5  p:6  ...  p:151  p:152  p:153  p:154  p:155  p:156
r:1     24    0    0    0    0    0  ...      0      0      0      0      0      0
r:10     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:100    0    2    0    0    0    0  ...      0      0      0      0      0      0
r:101    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:102    0    0    2    0    0    0  ...      0      0      0      0      0      0
r:103    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:104    0    0    0    0    0    0  ...      0      3      0      0      0      0
r:105    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:106    0    0    0    0    0    0  ...      0      0      0      1      0      0
r:107    0    0    0    0    0    0  ...      0      0      0      0      3      0
r:108    0    0    0    0    0    0  ...      0      0      0      0      1      2
r:11     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:12     0    0    0    0    0    0  ...      0      0      0      0      1      0
r:145    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:146    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:147    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:148    0    1    0    1    0    2  ...      0      0      0      0      0      0
r:149    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:150    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:151    0    0    0    0    0    0  ...     18      2      0      0      0      0
r:152    0    0    0    0    0    0  ...      0     19      0      0      0      0
r:153    0    0    2    0    0    0  ...      0      0     21      0      0      0
r:154    0    0    0    0    0    0  ...      0      0      0     17      0      5
r:155    0    0    0    0    0    0  ...      0      0      0      0     17      0
r:156    0    0    0    0    0    0  ...      0      0      0      0      0     23
r:2      0   17    2    0    0    0  ...      0      0      0      0      0      0
r:3      0    0   23    0    0    0  ...      0      0      0      0      0      0
r:4      0    0    0   24    0    0  ...      0      0      0      0      0      0
r:49     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:5      0    0    0    0   18    0  ...      0      0      0      0      0      0
r:50     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:51     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:52     0    0    0    4    0    0  ...      0      0      0      0      0      0
r:53     0    0    2    0    0    0  ...      0      0      0      0      0      0
r:54     0    0    1    0    0    3  ...      0      0      0      0      0      0
r:55     0    0    1    0    1    0  ...      0      0      0      0      0      0
r:56     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:57     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:58     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:59     0    0    0    0    0    0  ...      0      0      0      0      3      1
r:6      0    0    0    2    0   13  ...      0      0      0      0      0      0
r:60     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:7      0    0    0    0    1    0  ...      0      0      0      0      0      0
r:8      0    1    0    0    0    4  ...      0      0      0      0      0      0
r:9      0    0    1    0    2    0  ...      0      0      0      0      0      0
r:97     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:98     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:99     0    0    0    0    0    0  ...      0      0      0      0      0      0
