Reporte de clasificacion:
              precision    recall  f1-score   support

           1       0.33      0.20      0.25         5
          10       0.38      0.60      0.46         5
         100       1.00      0.60      0.75         5
         101       0.50      0.20      0.29         5
         102       0.00      0.00      0.00         5
         103       0.33      0.40      0.36         5
         104       0.40      0.40      0.40         5
         105       0.75      0.60      0.67         5
         106       0.67      0.40      0.50         5
         107       0.50      0.60      0.55         5
         108       1.00      0.20      0.33         5
          11       0.00      0.00      0.00         5
          12       0.30      0.60      0.40         5
         145       0.75      0.60      0.67         5
         146       0.17      0.20      0.18         5
         147       0.29      0.80      0.42         5
         148       0.36      0.80      0.50         5
         149       0.80      0.80      0.80         5
         150       0.43      0.60      0.50         5
         151       0.33      0.20      0.25         5
         152       1.00      0.20      0.33         5
         153       1.00      0.40      0.57         5
         154       0.67      0.80      0.73         5
         155       0.50      0.20      0.29         5
         156       0.50      0.20      0.29         5
           2       0.27      0.60      0.37         5
           3       0.40      0.40      0.40         5
           4       1.00      0.60      0.75         5
          49       0.60      0.60      0.60         5
           5       1.00      0.80      0.89         5
          50       0.75      0.60      0.67         5
          51       1.00      0.20      0.33         5
          52       0.00      0.00      0.00         5
          53       0.60      0.60      0.60         5
          54       0.80      0.80      0.80         5
          55       0.40      0.40      0.40         5
          56       0.38      0.60      0.46         5
          57       0.44      0.80      0.57         5
          58       1.00      0.80      0.89         5
          59       0.00      0.00      0.00         5
           6       0.00      0.00      0.00         5
          60       0.24      1.00      0.38         5
           7       0.67      0.40      0.50         5
           8       0.17      0.20      0.18         5
           9       0.50      0.80      0.62         5
          97       0.83      1.00      0.91         5
          98       0.25      0.20      0.22         5
          99       0.00      0.00      0.00         5

    accuracy                           0.46       240
   macro avg       0.51      0.46      0.44       240
weighted avg       0.51      0.46      0.44       240





-------- Matriz generada con errores por division por 0 ------------------
       p:1  p:2  p:3  p:4  p:5  p:6  ...  p:151  p:152  p:153  p:154  p:155  p:156
r:1      1    0    0    0    0    0  ...      0      0      0      0      0      0
r:10     0    0    0    0    0    0  ...      0      0      0      1      0      0
r:100    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:101    1    0    0    0    0    0  ...      0      0      0      0      0      0
r:102    0    1    0    0    0    0  ...      0      0      0      0      0      0
r:103    0    1    0    0    0    0  ...      1      0      0      0      0      0
r:104    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:105    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:106    1    0    0    0    0    0  ...      0      0      0      1      0      0
r:107    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:108    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:11     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:12     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:145    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:146    0    0    1    0    0    0  ...      0      0      0      0      0      0
r:147    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:148    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:149    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:150    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:151    0    0    0    0    0    0  ...      1      0      0      0      0      0
r:152    0    0    0    0    0    0  ...      0      1      0      0      0      0
r:153    0    0    0    0    0    0  ...      0      0      2      0      0      0
r:154    0    0    0    0    0    0  ...      0      0      0      4      0      1
r:155    0    0    0    0    0    0  ...      0      0      0      0      1      0
r:156    0    0    0    0    0    0  ...      0      0      0      0      0      1
r:2      0    3    0    0    0    0  ...      0      0      0      0      0      0
r:3      0    0    2    0    0    0  ...      0      0      0      0      0      0
r:4      0    0    0    3    0    0  ...      0      0      0      0      0      0
r:49     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:5      0    0    0    0    4    0  ...      0      0      0      0      0      0
r:50     0    0    0    0    0    0  ...      1      0      0      0      0      0
r:51     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:52     0    1    0    0    0    0  ...      0      0      0      0      0      0
r:53     0    1    0    0    0    0  ...      0      0      0      0      0      0
r:54     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:55     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:56     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:57     0    0    1    0    0    0  ...      0      0      0      0      0      0
r:58     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:59     0    0    0    0    0    0  ...      0      0      0      0      1      0
r:6      0    1    0    0    0    0  ...      0      0      0      0      0      0
r:60     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:7      0    0    0    0    0    0  ...      0      0      0      0      0      0
r:8      0    1    0    0    0    1  ...      0      0      0      0      0      0
r:9      0    0    0    0    0    0  ...      0      0      0      0      0      0
r:97     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:98     0    2    0    0    0    0  ...      0      0      0      0      0      0
r:99     0    0    1    0    0    0  ...      0      0      0      0      0      0
