Reporte de clasificacion:
              precision    recall  f1-score   support

           1       0.96      0.98      0.97        50
          10       0.92      0.98      0.95        50
         100       0.98      0.92      0.95        50
         101       0.94      0.92      0.93        50
         102       0.88      0.92      0.90        50
         103       0.88      0.90      0.89        50
         104       0.88      0.92      0.90        50
         105       0.94      0.92      0.93        50
         106       0.91      1.00      0.95        50
         107       0.88      0.92      0.90        50
         108       0.94      0.90      0.92        50
          11       0.98      0.98      0.98        50
          12       0.93      1.00      0.96        50
         145       0.96      0.96      0.96        50
         146       0.96      1.00      0.98        50
         147       1.00      0.96      0.98        50
         148       0.86      0.88      0.87        50
         149       0.96      1.00      0.98        50
         150       0.88      0.88      0.88        50
         151       0.91      0.86      0.89        50
         152       0.94      0.94      0.94        50
         153       1.00      0.96      0.98        50
         154       0.98      0.86      0.91        50
         155       0.95      0.78      0.86        50
         156       0.89      0.96      0.92        50
           2       0.96      0.90      0.93        50
           3       0.98      0.94      0.96        50
           4       0.89      0.94      0.91        50
          49       0.98      0.94      0.96        50
           5       0.90      0.92      0.91        50
          50       0.90      0.94      0.92        50
          51       1.00      0.94      0.97        50
          52       0.80      0.98      0.88        50
          53       0.90      0.92      0.91        50
          54       1.00      0.94      0.97        50
          55       0.98      0.94      0.96        50
          56       0.95      0.84      0.89        50
          57       0.98      0.94      0.96        50
          58       1.00      0.98      0.99        50
          59       0.85      0.94      0.90        50
           6       0.90      0.86      0.88        50
          60       0.96      0.96      0.96        50
           7       0.80      0.94      0.86        50
           8       0.89      0.82      0.85        50
           9       1.00      0.82      0.90        50
          97       1.00      0.98      0.99        50
          98       0.84      0.98      0.91        50
          99       1.00      1.00      1.00        50

    accuracy                           0.93      2400
   macro avg       0.93      0.93      0.93      2400
weighted avg       0.93      0.93      0.93      2400

       p:1  p:2  p:3  p:4  p:5  p:6  ...  p:151  p:152  p:153  p:154  p:155  p:156
r:1     49    0    0    0    0    0  ...      0      0      0      0      0      0
r:10     1    0    0    0    0    0  ...      0      0      0      0      0      0
r:100    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:101    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:102    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:103    0    0    0    0    0    0  ...      1      0      0      0      0      0
r:104    0    0    0    0    0    0  ...      0      1      0      0      0      0
r:105    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:106    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:107    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:108    0    0    0    0    0    0  ...      0      0      0      0      0      1
r:11     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:12     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:145    0    0    0    0    0    0  ...      0      0      0      0      1      0
r:146    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:147    0    0    0    0    0    0  ...      2      0      0      0      0      0
r:148    0    1    0    3    0    1  ...      0      0      0      0      0      0
r:149    0    0    0    0    0    0  ...      0      0      0      0      0      0
r:150    0    1    0    0    0    0  ...      0      0      0      0      0      0
r:151    0    0    0    0    0    0  ...     43      0      0      0      0      0
r:152    0    0    0    0    0    0  ...      1     47      0      0      0      0
r:153    0    0    0    0    0    0  ...      0      0     48      0      0      0
r:154    0    0    0    0    0    0  ...      0      0      0     43      0      4
r:155    0    0    0    0    0    0  ...      0      0      0      0     39      0
r:156    0    0    0    0    0    0  ...      0      0      0      1      0     48
r:2      0   45    0    0    0    0  ...      0      0      0      0      0      0
r:3      0    0   47    0    0    0  ...      0      0      0      0      0      0
r:4      0    0    0   47    0    0  ...      0      0      0      0      0      0
r:49     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:5      0    0    0    0   46    0  ...      0      0      0      0      0      0
r:50     0    0    0    0    0    0  ...      0      1      0      0      0      0
r:51     0    0    0    0    0    0  ...      0      1      0      0      0      0
r:52     0    0    0    1    0    0  ...      0      0      0      0      0      0
r:53     0    0    1    0    1    0  ...      0      0      0      0      0      0
r:54     0    0    0    0    0    2  ...      0      0      0      0      0      0
r:55     1    0    0    0    0    0  ...      0      0      0      0      0      0
r:56     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:57     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:58     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:59     0    0    0    0    0    0  ...      0      0      0      0      1      0
r:6      0    0    0    2    0   43  ...      0      0      0      0      0      0
r:60     0    0    0    0    0    0  ...      0      0      0      0      0      1
r:7      0    0    0    0    3    0  ...      0      0      0      0      0      0
r:8      0    0    0    0    0    2  ...      0      0      0      0      0      0
r:9      0    0    0    0    1    0  ...      0      0      0      0      0      0
r:97     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:98     0    0    0    0    0    0  ...      0      0      0      0      0      0
r:99     0    0    0    0    0    0  ...      0      0      0      0      0      0
